intervention_names,disease,modality,label,target_is_unknown,appears_in_test_set,frequency_count
['Pomegranate-Extract Pill'],prostate cancer,unknown,1,True,False,1
"['Prednisolone (Corticosteroid)', 'Propranolol', 'Placebo']",cancer NOS,unknown,0,True,False,1
"['Propranolol', 'Placebo']",cancer NOS,unknown,1,True,False,1
['R-HCVAD and R-MC'],DLBCL,unknown,0,True,False,1
['RAD001'],cancer NOS,unknown,0,True,False,1
['Radium-223'],prostate cancer,unknown,1,True,False,1
['Resiquimod'],cancer NOS,unknown,1,True,False,1
['Revlimid'],prostate cancer,unknown,1,True,False,1
"['Ridaforolimus Tablet', 'Ridaforolimus Intravenous (IV) Infusion']",solid tumors,unknown,0,True,False,1
['Rilimogene Galvacirepvec'],prostate cancer,unknown,1,True,False,1
['Roferon-A'],cancer NOS,unknown,1,True,False,1
['SGN-35'],lymphoma,unknown,1,True,False,1
"['SU011248', 'Chemotherapy']",breast cancer,unknown,0,True,False,1
['Samalizumab'],CLL,unknown,0,True,False,1
['Selinexor'],SCLC,unknown,0,True,False,1
"['Siltuximab', 'Dexamethasone']",multiple myeloma,unknown,1,True,False,1
['Sodium Acetate C11 PET/CT Imaging'],glioma,unknown,0,True,False,1
['Study Drug'],breast cancer,unknown,0,True,False,1
['TAK-700'],prostate cancer,unknown,1,True,False,1
['TAS-109'],colorectal cancer,unknown,0,True,False,1
['TH-4000 (Tarloxotinib)'],NSCLC,unknown,0,True,False,1
['TKI258'],multiple myeloma,unknown,1,True,False,1
['TNP-470'],pancreatic cancer,unknown,0,True,False,1
"['TP-38', 'TP38']",glioblastoma,unknown,1,True,False,1
['TPI 287'],cancer NOS,unknown,0,True,False,1
['TXA127'],cancer NOS,unknown,0,True,False,1
"['Tarceva', 'Temodar']",glioblastoma,unknown,1,True,False,1
['Tarceva'],breast cancer,unknown,0,True,False,1
['Tavokinogene Telseplasmid (tavo)'],HNSCC,unknown,0,True,False,1
"['Taxol', 'Campt, Topotesin']",gastric cancer,unknown,0,True,False,1
['Taxotere'],breast cancer,unknown,0,True,False,1
"['Thiotepa', 'Fludarabine', 'Rabbit ATG', 'Palifermin']",AML,unknown,0,True,False,1
['Thymoglobulin (rATG)'],cancer NOS,unknown,0,True,False,1
"['Topical NO', 'Placebo']",cancer NOS,unknown,1,True,False,1
"['Trinity multipotent stem cells', 'Demineralized bone matrix(DBM)']",cancer NOS,unknown,0,True,False,1
['Triptorelin'],breast cancer,unknown,0,True,False,1
['Troxatyl™ (Cytotoxic Chemotherapeutic)'],cancer NOS,unknown,0,True,False,1
"['Tumor specific peptides: MAGE-3.A1 and / or NA17.A2', 'Galectin-3 inhibitor: GM-CT-01 systemic injections', 'Galectin-3 inhibitor: GM-CT-01 Peri-tumoral administration']",melanoma,unknown,0,True,False,1
"['VCR, CTX, ADM; IFO, VP-16']",sarcoma,unknown,0,True,False,1
['VELCADE'],lung cancer NOS,unknown,0,True,False,1
"['Valrubicin, 800 mg']",bladder cancer,unknown,0,True,False,1
"['Vandetanib', 'Anastrozole']",breast cancer,unknown,1,True,False,1
['Vandetanib'],thyroid cancer,unknown,1,True,False,1
['Velcade'],cancer NOS,unknown,0,True,False,1
['Veltuzumab'],cancer NOS,unknown,0,True,False,1
"['Vigil™ Vaccine', 'Placebo']",colorectal cancer,unknown,0,True,False,1
['Vinflunine'],gastric cancer,unknown,0,True,False,1
['Vitamin D'],breast cancer,unknown,0,True,False,1
['Volociximab'],ovarian cancer,unknown,0,True,False,1
['Voreloxin Injection'],ovarian cancer,unknown,1,True,False,1
"['Vorinostat', 'Placebo']",cancer NOS,unknown,0,True,False,1
['WT1/PRAME vaccination'],AML,unknown,1,True,False,1
['YF476'],cancer NOS,unknown,0,True,False,1
"['ZGN-440 sterile diluent', 'ZGN-440 for injectable suspension']",cancer NOS,unknown,1,True,False,1
['Zoledronic Acid'],multiple myeloma,unknown,0,True,False,1
['[F-18] FLT'],HNSCC,unknown,0,True,False,1
"['anti-thymocyte globulin', 'busulfan', 'fludarabine phosphate']",cancer NOS,unknown,1,True,False,1
"['anti-thymocyte globulin', 'melphalan']",multiple myeloma,unknown,0,True,False,1
"['antibody ch14.18', 'GM-CSF', 'IL-2 i.v.', 'IL-2 s.c.', 'Retinoic acid']",cancer NOS,unknown,0,True,False,1
"['arsenic trioxide', 'dexamethasone']",multiple myeloma,unknown,0,True,False,1
"['arsenic trioxide', 'idarubicin', 'tretinoin']",cancer NOS,unknown,0,True,False,1
['arsenic trioxide'],breast cancer,unknown,0,True,False,1
"['autologous immunoglobulin idiotype-KLH conjugate vaccine', 'sargramostim']",lymphoma,unknown,0,True,False,1
['cabazitaxel'],cancer NOS,unknown,0,True,False,1
"['carcinoembryonic antigen peptide 1-6D', ""incomplete Freund's adjuvant"", 'sargramostim']",colorectal cancer,unknown,0,True,False,1
"['chemotherapy and GI-4000', 'GI-4000']",colorectal cancer,unknown,0,True,False,1
['chemotherapy followed by Zevalin'],DLBCL,unknown,1,True,False,1
"['chemotherapy', 'Glivec']",cancer NOS,unknown,1,True,False,1
['cilengitide'],AML,unknown,0,True,False,1
['disulfiram and chelated zinc'],melanoma,unknown,0,True,False,1
['donor natural killer cell infusion'],cancer NOS,unknown,1,True,False,1
['efalizumab'],cancer NOS,unknown,0,True,False,1
"['estriol', 'Placebo']",cancer NOS,unknown,1,True,False,1
"['filgrastim', 'melphalan']",multiple myeloma,unknown,0,True,False,1
['gamma-secretase/Notch signalling pathway inhibitor RO4929097'],glioblastoma,unknown,0,True,False,1
['ibandronate [Bondronat]'],cancer NOS,unknown,0,True,False,1
['ifosfamide'],sarcoma,unknown,0,True,False,1
['intervention'],colorectal cancer,unknown,0,True,False,1
['intravenous T900607-sodium'],lymphoma,unknown,0,True,False,1
['lanreotide (Autogel formulation)'],cancer NOS,unknown,1,True,False,1
"['methylene blue', 'indocyanine green solution']",breast cancer,unknown,0,True,False,1
['mifepristone vaginal tablets'],cancer NOS,unknown,1,True,False,1
['naked DNA coding for protein AMEP'],melanoma,unknown,0,True,False,1
['nelfinavir mesylate'],sarcoma,unknown,0,True,False,1
"['placebo', 'A007']",cancer NOS,unknown,1,True,False,1
['plerixafor'],multiple myeloma,unknown,0,True,False,1
"['r-metHuSCF and Filgrastim', 'r-metHuSCF and Filgrastim', 'Chemotherapy plus Filgrastim']",lymphoma,unknown,0,True,False,1
"['recombinant interferon alfa', 'amifostine trihydrate', 'bromodeoxyuridine', 'cytarabine', 'idarubicin', 'idoxuridine', 'isotretinoin', 'mitoxantrone hydrochloride']",cancer NOS,unknown,0,True,False,1
"['recombinant interferon alfa', 'sargramostim']",cancer NOS,unknown,0,True,False,1
"['ritonavir', 'lopinavir']",glioblastoma,unknown,0,True,False,1
['rosiglitazone maleate'],cancer NOS,unknown,0,True,False,1
['saracatinib'],prostate cancer,unknown,0,True,False,1
"['suramin', 'therapeutic hydrocortisone']",cancer NOS,unknown,0,True,False,1
['triptorelin'],breast cancer,unknown,0,True,False,1
['velcade'],multiple myeloma,unknown,0,True,False,1
['volociximab'],melanoma,unknown,0,True,False,1
['vorinostat'],breast cancer,unknown,0,True,False,1
